actor,gender,film,director,year,maleactors,femaleactors
Tommy Ivo,m,The Donna Reed Show,Ida Lupino,1958,30,20
Aline Towne,f,The Donna Reed Show,Ida Lupino,1958,30,20
William Lanteau,m,The Donna Reed Show,Ida Lupino,1958,30,20
William Lanteau,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Doodles Weaver,m,The Donna Reed Show,Ida Lupino,1958,30,20
Doodles Weaver,m,Karen,Ida Lupino,1964,38,12
Charles Herbert,m,The Donna Reed Show,Ida Lupino,1958,30,20
Richard Deacon,m,The Donna Reed Show,Ida Lupino,1958,30,20
Leslie Barringer,m,The Donna Reed Show,Ida Lupino,1958,30,20
Dorothy Lovett,f,The Donna Reed Show,Ida Lupino,1958,30,20
Gerry Lock,f,The Donna Reed Show,Ida Lupino,1958,30,20
Betsy Jones-Moreland,f,The Donna Reed Show,Ida Lupino,1958,30,20
Betsy Jones-Moreland,f,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Ricky Klein,m,The Donna Reed Show,Ida Lupino,1958,30,20
Don Drysdale,m,The Donna Reed Show,Ida Lupino,1958,30,20
Mary Shipp,f,The Donna Reed Show,Ida Lupino,1958,30,20
Jackie Kelk,m,The Donna Reed Show,Ida Lupino,1958,30,20
Frances Robinson,f,The Donna Reed Show,Ida Lupino,1958,30,20
Frances Robinson,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Arthur Hanson,m,The Donna Reed Show,Ida Lupino,1958,30,20
Arthur Hanson,m,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
Jack Albertson,m,The Donna Reed Show,Ida Lupino,1958,30,20
Mimsy Farmer,f,The Donna Reed Show,Ida Lupino,1958,30,20
James Stacy,m,The Donna Reed Show,Ida Lupino,1958,30,20
Ann Doran,f,The Donna Reed Show,Ida Lupino,1958,30,20
Ann Doran,f,Karen,Ida Lupino,1964,38,12
Tony Haig,m,The Donna Reed Show,Ida Lupino,1958,30,20
Melinda Casey,f,The Donna Reed Show,Ida Lupino,1958,30,20
Harvey Korman,m,The Donna Reed Show,Ida Lupino,1958,30,20
Stephen Wootton,m,The Donna Reed Show,Ida Lupino,1958,30,20
Regina Groves,f,The Donna Reed Show,Ida Lupino,1958,30,20
Sally Mansfield,f,The Donna Reed Show,Ida Lupino,1958,30,20
Randy Preissman,m,The Donna Reed Show,Ida Lupino,1958,30,20
Glenn Perry,m,The Donna Reed Show,Ida Lupino,1958,30,20
Mary Treen,f,The Donna Reed Show,Ida Lupino,1958,30,20
David Janssen,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
William Conrad,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Barry Morse,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Paul Birch,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Bill Raisch,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Mark Russell,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Richard Anderson,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Richard Anderson,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Richard Anderson,m,Karen,Ida Lupino,1964,38,12
Richard Anderson,m,The Rifleman,Ida Lupino,1958,44,6
Don Ross,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Dabbs Greer,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Dabbs Greer,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Dabbs Greer,m,The Rifleman,Ida Lupino,1958,44,6
Carol Eve Rossen,f,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Crahan Denton,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Crahan Denton,m,Tate,Ida Lupino,1960,40,10
Rodolfo Hoyos Jr.,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Rodolfo Hoyos Jr.,m,77 Sunset Strip,Ida Lupino,1958,31,19
Jud Taylor,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Jud Taylor,m,Dr. Kildare,Ida Lupino,1961,29,21
Bill Zuckert,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Bill Zuckert,m,Mr. Novak (1963-1965),Ida Lupino,1963,33,17
Marlowe Jensen,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
John Ward,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Lin McCarthy,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Lin McCarthy,m,Thriller (1961-1962),Ida Lupino,1960,33,17
Diana Hyland,f,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Diana Hyland,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Diana Hyland,f,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
Joseph Campanella,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
David Sheiner,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
David Sheiner,m,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
David Sheiner,m,Mr. Novak (1963-1965),Ida Lupino,1963,33,17
John Lasell,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Noam Pitlik,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Vaughn Taylor,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Vaughn Taylor,m,The Twilight Zone,Ida Lupino,1959,35,15
Vaughn Taylor,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Vaughn Taylor,m,Tate,Ida Lupino,1960,40,10
John McLiam,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
John McLiam,m,The Twilight Zone,Ida Lupino,1959,35,15
Hugh Sanders,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Hugh Sanders,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Hugh Sanders,m,The Twilight Zone,Ida Lupino,1959,35,15
Garry Walberg,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Buck Young,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Buck Young,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Ted Gehring,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
David Armstrong,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
David Armstrong,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
David Armstrong,m,The Twilight Zone,Ida Lupino,1959,35,15
Laurence Naismith,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Geraldine Brooks,f,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Geraldine Brooks,f,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
Lou Antonio,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Lou Antonio,m,Breaking Point,Ida Lupino,1963,22,28
Edward Binns,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Edward Binns,m,Dr. Kildare,Ida Lupino,1961,29,21
Elizabeth Allen,f,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Robert Duvall,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Robert Duvall,m,Rambling Rose,Martha Coolidge,1991,16,4
R.G. Armstrong,m,The Fugitive (1963-1964),Ida Lupino,1963,41,9
Judi Meredith,f,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Oliver McGowan,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Mason Curry,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Mason Curry,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Dick Myers,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Robert Nash,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Russ Bender,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Russ Bender,m,The Twilight Zone,Ida Lupino,1959,35,15
King Donovan,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
King Donovan,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Kermit Maynard,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Bob Steele,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Wayne Heffley,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Harry Swoger,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
J. Pat O'Malley,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
J. Pat O'Malley,m,The Twilight Zone,Ida Lupino,1959,35,15
J. Pat O'Malley,m,Thriller (1961-1962),Ida Lupino,1960,33,17
J. Pat O'Malley,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
J. Pat O'Malley,m,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
Richard Ney,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Denver Pyle,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Denver Pyle,m,The Rifleman,Ida Lupino,1958,44,6
H.M. Wynant,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Jacques Aubuchon,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Lane Bradford,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Lane Bradford,m,Tate,Ida Lupino,1960,40,10
Patricia Breslin,f,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Gordon Jones,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Madlyn Rhue,f,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Peter Mark Richman,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Peter Mark Richman,m,Breaking Point,Ida Lupino,1963,22,28
James Westerfield,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Roy Barcroft,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Paul Burke,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Russ Conway,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Val Dufour,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Kevin Hagen,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Kevin Hagen,m,Thriller (1961-1962),Ida Lupino,1960,33,17
Len Lesser,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Don Beddoe,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Don Beddoe,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Carol Henry,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Kenneth Becker,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Harry Carey Jr.,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Richard Devon,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Richard Devon,m,Daniel Boone,Ida Lupino,1964,48,2
Richard Devon,m,The Rifleman,Ida Lupino,1958,44,6
Lew Gallo,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Lew Gallo,m,The Twilight Zone,Ida Lupino,1959,35,15
Rex Holman,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Warren Oates,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Warren Oates,m,Dundee and the Culhane,Ida Lupino,1967,45,5
Warren Oates,m,Tate,Ida Lupino,1960,40,10
Warren Oates,m,The Rifleman,Ida Lupino,1958,44,6
Alice Frost,f,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Duane Grey,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Dennis Cross,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Dennis Cross,m,The Rifleman,Ida Lupino,1958,44,6
Harry Mayo,m,Hotel de Paree (1959-1960),Ida Lupino,1959,44,6
Binnie Barnes,f,The Trouble with Angels,Ida Lupino,1966,5,32
Camilla Sparv,f,The Trouble with Angels,Ida Lupino,1966,5,32
Marge Redmond,f,The Trouble with Angels,Ida Lupino,1966,5,32
Dolores Sutton,f,The Trouble with Angels,Ida Lupino,1966,5,32
Dolores Sutton,f,Crossing Delancey,Joan Micklin Silver,1988,31,34
Margalo Gillmore,f,The Trouble with Angels,Ida Lupino,1966,5,32
Portia Nelson,f,The Trouble with Angels,Ida Lupino,1966,5,32
Marjorie Eaton,f,The Trouble with Angels,Ida Lupino,1966,5,32
Barbara Bell Wright,f,The Trouble with Angels,Ida Lupino,1966,5,32
Judith Lowry,f,The Trouble with Angels,Ida Lupino,1966,5,32
Hayley Mills,f,The Trouble with Angels,Ida Lupino,1966,5,32
June Harding,f,The Trouble with Angels,Ida Lupino,1966,5,32
Barbara Hunter,f,The Trouble with Angels,Ida Lupino,1966,5,32
Bernadette Withers,f,The Trouble with Angels,Ida Lupino,1966,5,32
Vicky Albright,f,The Trouble with Angels,Ida Lupino,1966,5,32
Patty Ann Gerrity,f,The Trouble with Angels,Ida Lupino,1966,5,32
Vicki Draves,f,The Trouble with Angels,Ida Lupino,1966,5,32
Wendy Winkelman,f,The Trouble with Angels,Ida Lupino,1966,5,32
Jewel Jaffe,f,The Trouble with Angels,Ida Lupino,1966,5,32
Gail Liddle,f,The Trouble with Angels,Ida Lupino,1966,5,32
Michael-Marie,f,The Trouble with Angels,Ida Lupino,1966,5,32
Betty Jane Royale,f,The Trouble with Angels,Ida Lupino,1966,5,32
Ronne Troup,f,The Trouble with Angels,Ida Lupino,1966,5,32
Catherine Wyles,f,The Trouble with Angels,Ida Lupino,1966,5,32
Gypsy Rose Lee,f,The Trouble with Angels,Ida Lupino,1966,5,32
Jim Boles,m,The Trouble with Angels,Ida Lupino,1966,5,32
Jim Boles,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Jim Boles,m,Dundee and the Culhane,Ida Lupino,1967,45,5
Kent Smith,m,The Trouble with Angels,Ida Lupino,1966,5,32
Pat McCaffrie,m,The Trouble with Angels,Ida Lupino,1966,5,32
Harry Harvey,m,The Trouble with Angels,Ida Lupino,1966,5,32
Mary Young,f,The Trouble with Angels,Ida Lupino,1966,5,32
Madge Blake,f,The Trouble with Angels,Ida Lupino,1966,5,32
Marie Denn,f,The Trouble with Angels,Ida Lupino,1966,5,32
Jesslyn Fax,f,The Trouble with Angels,Ida Lupino,1966,5,32
Jim Hutton,m,The Trouble with Angels,Ida Lupino,1966,5,32
Kathryn Minner,f,The Trouble with Angels,Ida Lupino,1966,5,32
Mews Small,f,The Trouble with Angels,Ida Lupino,1966,5,32
Don Herbert,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Nancy Reagan,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Edgar Buchanan,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Edgar Buchanan,m,Karen,Ida Lupino,1964,38,12
Edgar Buchanan,m,The Rifleman,Ida Lupino,1958,44,6
Nora Marlowe,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Whit Bissell,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Whit Bissell,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Whit Bissell,m,The Rifleman,Ida Lupino,1958,44,6
Howard McNear,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Howard McNear,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Howard McNear,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Rhys Williams,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Rhys Williams,m,The Rifleman,Ida Lupino,1958,44,6
Joan Fontaine,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Joan Fontaine,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Joan Fontaine,f,The Bigamist,Ida Lupino,1953,21,6
Walter Baldwin,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Alice Backes,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Dayton Lummis,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Dayton Lummis,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Frank Gerstle,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Frank Gerstle,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Larry J. Blake,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Virginia Gregg,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Virginia Gregg,f,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Virginia Gregg,f,Breaking Point,Ida Lupino,1963,22,28
Will Wright,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Carl Benton Reid,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Jack Benny,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Marian Seldes,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Marian Seldes,f,Breaking Point,Ida Lupino,1963,22,28
Marian Seldes,f,If These Walls Could Talk 2,Martha Coolidge,2000,5,24
Jesse White,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Philip Tonge,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Claire Carleton,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Eleanor Audley,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Eleanor Audley,f,Karen,Ida Lupino,1964,38,12
Eleanor Audley,f,Bob Hope Presents the Chrysler Theatre,Ida Lupino,1963,43,7
Dan O'Herlihy,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Dan O'Herlihy,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Dan O'Herlihy,m,Sam Benedict (1962-1963),Ida Lupino,1962,38,12
Jonathan Harris,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Jonathan Harris,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Patricia Barry,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Patricia Barry,f,Thriller (1961-1962),Ida Lupino,1960,33,17
Patricia Barry,f,Dr. Kildare,Ida Lupino,1961,29,21
Audrey Totter,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Audrey Totter,f,Dr. Kildare,Ida Lupino,1961,29,21
Roy Glenn,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Roy Glenn,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Jeanne Bates,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Marjorie Bennett,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Marjorie Bennett,f,The Twilight Zone,Ida Lupino,1959,35,15
Anne O'Neal,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Anne O'Neal,f,Not Wanted,Ida Lupino,1949,13,11
Patric Knowles,m,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Joanne Davis,f,General Electric Theater (1961-1962),Ida Lupino,1953,31,19
Robert Coote,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Gig Young,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Charles Boyer,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
David Niven,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Gladys Cooper,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Gladys Cooper,f,The Twilight Zone,Ida Lupino,1959,35,15
Vincent Gardenia,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Ray Fulmer,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Marcel Hillaire,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Ed Gilbert,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Lawrence Montaigne,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Alan Caillou,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Alan Caillou,m,Daniel Boone,Ida Lupino,1964,48,2
Alan Caillou,m,Thriller (1961-1962),Ida Lupino,1960,33,17
Susanne Cramer,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Larry Hagman,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Dina Merrill,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Martin Kosleck,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
John Orchard,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
John Orchard,m,Daniel Boone,Ida Lupino,1964,48,2
Robert Phillips,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Greta Chi,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Molly Dodd,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Alberto Morin,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Joe Harden,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Jonathan Hole,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
John Hale,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
John Banner,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Nelson Welch,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Barry Ford,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Charles Giorgi,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Monica Keating,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Nadia Sanders,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Robert Middleton,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Robert Middleton,m,The Joseph Cotten Show: On Trial,Ida Lupino,1955,40,10
Robert Middleton,m,Thriller (1961-1962),Ida Lupino,1960,33,17
George Hamilton,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Oskar Homolka,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Marlyn Mason,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Suzy Parker,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Helmut Dantine,m,The Rogues (1964-1965),Ida Lupino,1964,35,15
Jocelyn Lane,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Susan Oliver,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Jill St. John,f,The Rogues (1964-1965),Ida Lupino,1964,35,15
Jill St. John,f,Bob Hope Presents the Chrysler Theatre,Ida Lupino,1963,43,7
Arthur Q. Bryan,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
George Sanders,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Laraine Day,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Barbara Morrison,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Chick Chandler,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
June Vincent,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Willis Bouchey,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Jacqueline deWit,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Emlen Davies,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Eilene Janssen,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Hal Baylor,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Hal Baylor,m,77 Sunset Strip,Ida Lupino,1958,31,19
William Schallert,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
William Schallert,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
William Forrest,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Clem Bevans,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Howard Wendell,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Hayden Rorke,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Hayden Rorke,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Hayden Rorke,m,Dr. Kildare,Ida Lupino,1961,29,21
Sol Gorss,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Diane Jergens,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Vernon Rich,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Tay Garnett,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Jack Carson,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Leo Genn,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Kim Hunter,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Kim Hunter,f,Breaking Point,Ida Lupino,1963,22,28
Buster Keaton,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Peter Lawford,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Jimmy Lydon,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Herb Shriner,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
John Wayne,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Alan Young,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Lew Ayres,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
William Bendix,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Marge Champion,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Linda Darnell,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Errol Flynn,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Jeanette MacDonald,f,Screen Directors Playhouse,Ida Lupino,1955,38,12
Fred MacMurray,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Lotfi Mansouri,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Ray Milland,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Alan Reed,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Lee Patrick,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Lawrence Dobkin,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Lawrence Dobkin,m,Never Fear,Ida Lupino,1950,8,3
Lawrence Dobkin,m,Not Wanted,Ida Lupino,1949,13,11
Lawrence Dobkin,m,The Rifleman,Ida Lupino,1958,44,6
Damian O'Flynn,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Dan Tobin,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Dan Tobin,m,The Ghost & Mrs. Muir,Ida Lupino,1968,36,14
Olive Blakeney,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Stephen Bekassy,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Sheilah Graham,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Joseph Kearns,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Joseph Kearns,m,"Hard, Fast and Beautiful!",Ida Lupino,1951,25,6
Herbert Anderson,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Herbert Anderson,m,Karen,Ida Lupino,1964,38,12
Fay Baker,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
William Bakewell,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Barbara Billingsley,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Patricia Blake,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Tom Brown,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Maxine Cooper,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Ellen Corby,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Walter Cox,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Johnny Crawford,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Johnny Crawford,m,The Rifleman,Ida Lupino,1958,44,6
Nick Dennis,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Patricia Donahue,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Jeff Donnell,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Douglass Dumbrille,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Leo Gordon,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Paul Grant,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Alvin Greenman,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
Nancy Hadley,f,Mr. Adams and Eve,Ida Lupino,1957,34,16
Sam Hanks,m,Mr. Adams and Eve,Ida Lupino,1957,34,16
