actor,film,gender
Maggie Smith,The Secret Garden,f
Judith Ivey,Washington Square,f
Judith Ivey,Related,f
Robert Stanton,Washington Square,m
Robert Stanton,A League of Their Own,m
Betsy Brantley,Washington Square,f
Betsy Brantley,Second Noah,f
Peter Maloney,Washington Square,m
Peter Maloney,Desperately Seeking Susan,m
Mike Campbell,Washington Square,m
Mike Campbell,Hard to Handle: Bob Dylan in Concert,m
Katie Whicker,Washington Square,f
Katie Whicker,Lords of Dogtown,f
Michalina Olszanska,1983,f
Michalina Olszanska,Mr. Jones,f
Andrzej Chyra,1983,m
Andrzej Chyra,Without Secrets,m
Agnieszka Zulewska,1983,f
Agnieszka Zulewska,Without Secrets,f
Ewa Blaszczyk,1983,f
Ewa Blaszczyk,I'll Find You,f
Miroslaw Zbrojewicz,1983,m
Miroslaw Zbrojewicz,I'll Find You,m
Clive Russell,1983,m
Clive Russell,Oscar and Lucinda,m
Mateusz Kosciukiewicz,1983,m
Mateusz Kosciukiewicz,Without Secrets,m
Rafal Mackowiak,1983,m
Rafal Mackowiak,Without Secrets,m
Rafal Mackowiak,Ekipa,m
Marcin Perchuc,1983,m
Marcin Perchuc,Ekipa,m
Maria Maj,1983,f
Maria Maj,Ekipa,f
Aleksandra Justa,1983,f
Aleksandra Justa,Ekipa,f
Roman Skorovskiy,1983,m
Roman Skorovskiy,Mr. Jones,m
Maura Tierney,The Affair,f
Maura Tierney,Electric Dreams,f
Maura Tierney,ER,f
Jadon Sand,The Affair,m
Jadon Sand,Frozen,m
Joshua Jackson,The Affair,m
Joshua Jackson,When They See Us,m
Catalina Sandino Moreno,The Affair,f
Catalina Sandino Moreno,"Paris, je t'aime",f
Omar Metwally,The Affair,m
Omar Metwally,The Slap,m
Kathleen Chalfant,The Affair,f
Kathleen Chalfant,Lover Other: The Story of Claude Cahun and Marcel Moore,f
Kathleen Chalfant,Welcome to this House,f
Josh Stamberg,The Affair,m
Josh Stamberg,Men in Trees,m
Josh Stamberg,Drop Dead Diva,m
Victor Williams,The Affair,m
Victor Williams,The Preacher's Wife,m
Victor Williams,The Land of Steady Habits,m
Darren Goldstein,The Affair,m
Darren Goldstein,Detroit,m
Sanaa Lathan,The Affair,f
Sanaa Lathan,Disappearing Acts,f
Sanaa Lathan,Love & Basketball,f
Sanaa Lathan,Shots Fired,f
Mare Winningham,The Affair,f
Mare Winningham,The Outsider,f
Richard Schiff,The Affair,m
Richard Schiff,Wild Palms,m
Richard Schiff,When We Rise,m
Richard Schiff,Grace of My Heart,m
Richard Schiff,Murder in the First (2014-2016),m
Richard Schiff,Manhattan,m
Richard Schiff,Trenchcoat in Paradise,m
Anna Paquin,The Affair,f
Anna Paquin,Alias Grace,f
Anna Paquin,The Piano,f
Anna Paquin,Electric Dreams,f
Emily Browning,The Affair,f
Emily Browning,Plush,f
Irène Jacob,The Affair,f
Irène Jacob,The Secret Garden,f
Christopher Meyer,The Affair,m
Christopher Meyer,The Fosters,m
Max Fowler,The Affair,m
Max Fowler,The Killing (2011-2012),m
Stephen Kunken,The Affair,m
Stephen Kunken,Billions (2016-2017),m
Stephen Kunken,Now and Again,m
Deirdre O'Connell,The Affair,f
Deirdre O'Connell,Second Noah,f
Deirdre O'Connell,Wendy and Lucy,f
Deirdre O'Connell,L.A. Doctors,f
Teresa Yenque,The Affair,f
Teresa Yenque,Musical Chairs,f
Jennifer Esposito,The Affair,f
Jennifer Esposito,Judging Amy,f
Jennifer Esposito,Related,f
Ramon Rodriguez,The Affair,m
Ramon Rodriguez,Gang Related,m
Adam Shapiro,The Affair,m
Adam Shapiro,Sense8 (2015-2018),m
Adam Shapiro,Sense8,m
Adam Shapiro,Betrayal,m
Russell Hornsby,The Affair,m
Russell Hornsby,Fear Itself,m
Jonathan Cake,The Affair,m
Jonathan Cake,Six Degrees,m
Jonathan Cake,Off the Map,m
